attention_ms,backend,batch_size,duration_s,gpu_utilization_pct,kind,output_tokens_per_request,prompt_tokens,repeat,sequence_length,tokens_per_second
3.756123352050781,pytorch,1,,8.0,micro,,,0,128,
3.780718231201172,pytorch,1,,20.428571428571427,micro,,,1,128,
4.0294944763183596,pytorch,1,,37.0,micro,,,2,128,
3.7741329193115236,pytorch,1,,37.0,micro,,,3,128,
3.7897712707519533,pytorch,1,,31.0,micro,,,4,128,
,pytorch,1,1.9347495590000108,34.609756097560975,end_to_end,8,16,0,,4.134902092514164
,pytorch,1,1.6759816270000556,35.82051282051282,end_to_end,8,16,1,,4.773322016852715
,pytorch,1,1.5983070950001093,36.25675675675676,end_to_end,8,16,2,,5.005295931567803
,pytorch,1,1.571096707000379,35.71232876712329,end_to_end,8,16,3,,5.091984449050258
,pytorch,1,1.739265400000022,35.638888888888886,end_to_end,8,16,4,,4.599643044701458
0.8078656196594238,triton,1,,0.0,micro,,,0,128,
0.7994847774505616,triton,1,,0.0,micro,,,1,128,
0.7995120048522949,triton,1,,0.0,micro,,,2,128,
0.823366355895996,triton,1,,0.0,micro,,,3,128,
0.8028847694396972,triton,1,,0.0,micro,,,4,128,
,triton,1,1.2995153669999127,30.85,end_to_end,8,16,0,,6.156141130111421
,triton,1,1.101776874999814,38.411764705882355,end_to_end,8,16,1,,7.260998285157647
,triton,1,1.0969410880002215,37.411764705882355,end_to_end,8,16,2,,7.29300788120208
,triton,1,1.13240232499993,36.41509433962264,end_to_end,8,16,3,,7.0646269646262825
,triton,1,1.213908669000375,33.96491228070175,end_to_end,8,16,4,,6.590281628508189
7.30834732055664,pytorch,2,,30.384615384615383,micro,,,0,128,
7.309022521972656,pytorch,2,,15.461538461538462,micro,,,1,128,
7.344478607177734,pytorch,2,,21.0,micro,,,2,128,
7.056171417236328,pytorch,2,,21.692307692307693,micro,,,3,128,
7.0606941223144535,pytorch,2,,22.615384615384617,micro,,,4,128,
,pytorch,2,2.187876196000161,30.872549019607842,end_to_end,8,16,0,,7.313028053987211
,pytorch,2,2.14997854000012,33.1,end_to_end,8,16,1,,7.441934746008723
,pytorch,2,2.3014241470000343,31.848484848484848,end_to_end,8,16,2,,6.952216965680321
,pytorch,2,2.175690210999619,33.722772277227726,end_to_end,8,16,3,,7.353988136320572
,pytorch,2,2.159844717999931,33.97,end_to_end,8,16,4,,7.407939962839731
1.2417072296142577,triton,2,,34.0,micro,,,0,128,
0.8215871810913086,triton,2,,34.0,micro,,,1,128,
0.8413248062133789,triton,2,,34.0,micro,,,2,128,
0.8203680038452148,triton,2,,22.5,micro,,,3,128,
0.8114815711975097,triton,2,,11.0,micro,,,4,128,
,triton,2,1.1130680549999852,39.44230769230769,end_to_end,8,16,0,,14.374682597462751
,triton,2,1.104786550999961,38.57692307692308,end_to_end,8,16,1,,14.482435530662578
,triton,2,1.2765329730000303,32.09615384615385,end_to_end,8,16,2,,12.533949642050978
,triton,2,1.1105751039999632,36.96153846153846,end_to_end,8,16,3,,14.406950004887316
,triton,2,1.113874976000261,36.69230769230769,end_to_end,8,16,4,,14.36426919065309
13.082379150390626,pytorch,4,,21.0,micro,,,0,128,
13.945710754394531,pytorch,4,,18.32,micro,,,1,128,
14.060989379882812,pytorch,4,,18.96,micro,,,2,128,
13.999845886230469,pytorch,4,,20.04,micro,,,3,128,
13.022254943847656,pytorch,4,,21.52173913043478,micro,,,4,128,
,pytorch,4,3.770524165000097,24.92485549132948,end_to_end,8,16,0,,8.486883679738776
,pytorch,4,3.6321866570001475,26.46583850931677,end_to_end,8,16,1,,8.810119914494994
,pytorch,4,3.301205946999744,29.071428571428573,end_to_end,8,16,2,,9.693427345568296
,pytorch,4,3.30533911800012,29.11038961038961,end_to_end,8,16,3,,9.681306170896454
,pytorch,4,3.4966425419997904,27.625806451612902,end_to_end,8,16,4,,9.151636066779261
0.8495712280273438,triton,4,,0.0,micro,,,0,128,
0.8236224174499511,triton,4,,0.0,micro,,,1,128,
0.8725680351257324,triton,4,,0.0,micro,,,2,128,
0.8930928230285644,triton,4,,0.0,micro,,,3,128,
0.8962736129760742,triton,4,,0.0,micro,,,4,128,
,triton,4,1.1621450900001946,39.148148148148145,end_to_end,8,16,0,,27.53528821430949
,triton,4,1.1686447130000488,37.611111111111114,end_to_end,8,16,1,,27.382145868655176
,triton,4,1.129874822000147,37.64150943396226,end_to_end,8,16,2,,28.321721465880966
,triton,4,1.1564064610001878,36.425925925925924,end_to_end,8,16,3,,27.6719311757588
,triton,4,1.1202649000001657,37.0,end_to_end,8,16,4,,28.564672516290806
28.235232543945312,pytorch,8,,18.82,micro,,,0,128,
27.498428344726562,pytorch,8,,19.346938775510203,micro,,,1,128,
26.405899047851562,pytorch,8,,23.106382978723403,micro,,,2,128,
27.084808349609375,pytorch,8,,23.791666666666668,micro,,,3,128,
25.251982116699217,pytorch,8,,27.0,micro,,,4,128,
,pytorch,8,5.937136672000179,24.824626865671643,end_to_end,8,16,0,,10.779606995039725
,pytorch,8,5.773330772999998,24.776061776061777,end_to_end,8,16,1,,11.085455262550921
,pytorch,8,5.4459613540002465,26.023715415019762,end_to_end,8,16,2,,11.75182779308373
,pytorch,8,5.69534313999975,24.836575875486382,end_to_end,8,16,3,,11.237250930591483
,pytorch,8,5.656504516000041,25.118110236220474,end_to_end,8,16,4,,11.314408009216471
0.8879232406616211,triton,8,,0.0,micro,,,0,128,
0.8942144393920899,triton,8,,0.0,micro,,,1,128,
0.8903712272644043,triton,8,,0.0,micro,,,2,128,
0.8644432067871094,triton,8,,0.0,micro,,,3,128,
0.8582127571105957,triton,8,,0.0,micro,,,4,128,
,triton,8,1.1857294289998208,39.56363636363636,end_to_end,8,16,0,,53.97521427294327
,triton,8,1.1597040200003903,38.68518518518518,end_to_end,8,16,1,,55.18649491270924
,triton,8,1.2050331959999312,35.73684210526316,end_to_end,8,16,2,,53.110570075949724
,triton,8,1.1694936369999596,36.836363636363636,end_to_end,8,16,3,,54.72453887323049
,triton,8,1.1461330709998947,37.407407407407405,end_to_end,8,16,4,,55.839938327724845
