admitted_s,arrival_s,batch_size,comparison,e2e_ms,error,experiment,finished_s,first_token_s,output_tokens,preemptions,profile_name,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,variant
8827.093746744,8827.093744148,1,metadata,1375.2394219991402,,metadata-rebuild-16x8-b1-continuous-fcfs,8828.46898357,8827.921780457,8,0,16x8,16,0,0,request-000000,8,78.17187328562015,828.0363089997991,rebuild
8828.530127853,8828.530124848,1,metadata,1129.5919510012027,,metadata-rebuild-16x8-b1-continuous-fcfs,8829.659716799,8829.310392813,8,0,16x8,16,0,1,request-000000,8,49.903426571420695,780.2679650012578,rebuild
8829.724721992,8829.724721483,1,metadata,1155.2554729987605,,metadata-rebuild-16x8-b1-continuous-fcfs,8830.879976956,8830.50840856,8,0,16x8,16,0,2,request-000000,8,53.081199428561376,783.6870769988309,rebuild
8830.950278539,8830.950277863,1,metadata,1191.713353000523,,metadata-rebuild-16x8-b1-continuous-fcfs,8832.141991216,8831.773341945,8,0,16x8,16,0,3,request-000000,8,52.6641815714746,823.0640820002009,rebuild
8832.21124096,8832.211240315,1,metadata,1149.8907179993694,,metadata-rebuild-16x8-b1-continuous-fcfs,8833.361131033,8833.011057561,8,0,16x8,16,0,4,request-000000,8,50.01049600001092,799.8172459992929,rebuild
8833.536202895,8833.536201878,1,metadata,1094.8492139996233,,metadata-cached-16x8-b1-continuous-fcfs,8834.631051092,8834.295951614,8,0,16x8,16,0,0,request-000000,8,47.87135399991322,759.7497360002308,cached
8834.689091357,8834.689090827,1,metadata,1112.316964999991,,metadata-cached-16x8-b1-continuous-fcfs,8835.801407792,8835.469384627,8,0,16x8,16,0,1,request-000000,8,47.431880714222125,780.293800000436,cached
8835.856747537,8835.856746448,1,metadata,1102.980153000317,,metadata-cached-16x8-b1-continuous-fcfs,8836.959726601,8836.626122838,8,0,16x8,16,0,2,request-000000,8,47.65768042852869,769.3763900006161,cached
8837.026178094,8837.026177424,1,metadata,1106.657036998513,,metadata-cached-16x8-b1-continuous-fcfs,8838.132834461,8837.789026425,8,0,16x8,16,0,3,request-000000,8,49.115433714177925,762.8490009992674,cached
8838.192695056,8838.192694533,1,metadata,1106.7264869998326,,metadata-cached-16x8-b1-continuous-fcfs,8839.29942102,8838.95946421,8,0,16x8,16,0,4,request-000000,8,48.56525857134589,766.7696770004113,cached
8839.468863435,8839.468862773,1,prefill,8247.561041000154,,prefill-token-128x32-b1-continuous-fcfs,8847.716423814,8846.16359718,32,0,128x32,128,0,0,request-000000,32,50.09118174189831,6694.734407001306,token
8848.137222923,8848.137221769,1,prefill,7932.3933359992225,,prefill-token-128x32-b1-continuous-fcfs,8856.069615105,8854.303585229,32,0,128x32,128,0,1,request-000000,32,56.96870567742501,6166.363459999047,token
8856.489496826,8856.489496121,1,prefill,7774.382933001107,,prefill-token-128x32-b1-continuous-fcfs,8864.263879054,8862.722868616,32,0,128x32,128,0,2,request-000000,32,49.71001412905612,6233.372495000367,token
8864.695279798,8864.695279216,1,prefill,7990.467078001529,,prefill-token-128x32-b1-continuous-fcfs,8872.685746294,8871.205847995,32,0,128x32,128,0,3,request-000000,32,47.73865480649786,6510.568779000096,token
8873.109656131,8873.109655543,1,prefill,7953.250038000988,,prefill-token-128x32-b1-continuous-fcfs,8881.062905581,8879.31899945,32,0,128x32,128,0,4,request-000000,32,56.255036483860515,6209.343907001312,token
8881.543128823,8881.543128219,1,prefill,1981.7461959992215,,prefill-chunk16-128x32-b1-continuous-fcfs,8883.524874415,8881.982507505,32,0,128x32,128,0,0,request-000000,32,49.75377129032436,439.3792859991663,chunk16
8883.621061808,8883.621060984,1,prefill,1886.7088240003795,,prefill-chunk16-128x32-b1-continuous-fcfs,8885.507769808,8884.02491658,32,0,128x32,128,0,1,request-000000,32,47.83397509679837,403.85559599963017,chunk16
8885.603457035,8885.603456257,1,prefill,1886.2071149997064,,prefill-chunk16-128x32-b1-continuous-fcfs,8887.489663372,8886.001318132,32,0,128x32,128,0,2,request-000000,32,48.011136774221086,397.8618749988527,chunk16
8887.585304645,8887.58530388,1,prefill,1909.0296150006907,,prefill-chunk16-128x32-b1-continuous-fcfs,8889.494333495,8887.981101309,32,0,128x32,128,0,3,request-000000,32,48.81394148387405,395.797429000595,chunk16
8889.592413426,8889.592412854,1,prefill,2040.6237090010109,,prefill-chunk16-128x32-b1-continuous-fcfs,8891.633036563,8890.025627918,32,0,128x32,128,0,4,request-000000,32,51.85189177421806,433.215064000251,chunk16
8891.787680015,8891.78767936,1,prefill,1669.4004729997687,,prefill-chunk32-128x32-b1-continuous-fcfs,8893.457079833,8891.992200462,32,0,128x32,128,0,0,request-000000,32,47.25417325807352,204.52110199948947,chunk32
8893.552736867,8893.552736349,1,prefill,1701.587493000261,,prefill-chunk32-128x32-b1-continuous-fcfs,8895.254323842,8893.764129453,32,0,128x32,128,0,1,request-000000,32,48.070786741933965,211.39310400030809,chunk32
8895.350758144,8895.350757496,1,prefill,1684.8836409990327,,prefill-chunk32-128x32-b1-continuous-fcfs,8897.035641137,8895.561559946,32,0,128x32,128,0,2,request-000000,32,47.55100616127874,210.80244999939168,chunk32
8897.130705046,8897.130704323,1,prefill,1878.0112360000203,,prefill-chunk32-128x32-b1-continuous-fcfs,8899.008715559,8897.337125694,32,0,128x32,128,0,3,request-000000,32,53.92225370967701,206.4213710000331,chunk32
8899.107987601,8899.107986886,1,prefill,1697.8260270007013,,prefill-chunk32-128x32-b1-continuous-fcfs,8900.805812913,8899.311211627,32,0,128x32,128,0,4,request-000000,32,48.21294470967851,203.22474100066756,chunk32
8900.958588255,8900.958587746,1,batching,1051.2813210007153,,batching-static-right-skewed-b1-static-fcfs,8902.009869067,8901.112335936,19,0,right-skewed,46,0,0,request-000000,19,49.862951722186864,153.74819000135176,static
8901.112478401,8901.112477282,1,batching,1623.7642020005296,,batching-static-right-skewed-b1-static-fcfs,8902.736241484,8902.272640455,10,0,right-skewed,80,0,0,request-000001,10,51.51122544460426,1160.1631729990913,static
8901.11252843,8901.112528053,1,batching,2304.2158750013186,,batching-static-right-skewed-b1-static-fcfs,8903.416743928,8902.84343418,12,0,right-skewed,17,0,0,request-000002,12,52.119068000055535,1730.9061270007078,static
8901.112547667,8901.112547246,1,batching,2862.7605229994515,,batching-static-right-skewed-b1-static-fcfs,8903.975307769,8903.634231199,8,0,right-skewed,49,0,0,request-000003,8,48.72522428585008,2521.683952998501,static
8901.112562662,8901.112562392,1,batching,3764.8711370002275,,batching-static-right-skewed-b1-static-fcfs,8904.877433529,8904.191938493,15,0,right-skewed,61,0,0,request-000004,15,48.96393114280987,3079.3761010008893,static
8901.112577685,8901.11257734,1,batching,5462.746740000512,,batching-static-right-skewed-b1-static-fcfs,8906.57532408,8905.754768105,18,0,right-skewed,248,0,0,request-000005,18,48.26799852943462,4642.190765000123,static
8901.112651043,8901.112650636,1,batching,7001.391014000546,,batching-static-right-skewed-b1-static-fcfs,8908.11404165,8906.902819774,26,0,right-skewed,81,0,0,request-000006,26,48.448875039975974,5790.169138001147,static
8901.163753959,8901.163753139,1,batching,8111.985855999592,,batching-static-right-skewed-b1-static-fcfs,8909.275738995,8908.273042495,21,0,right-skewed,36,0,0,request-000007,21,50.13482499998645,7109.289355999863,static
8909.735354243,8909.735353561,1,batching,1204.726808000487,,batching-static-right-skewed-b1-static-fcfs,8910.940080369,8909.886653685,19,0,right-skewed,46,0,1,request-000000,19,58.52370466669122,151.3001240000449,static
8909.886775078,8909.886773868,1,batching,1743.6608820007677,,batching-static-right-skewed-b1-static-fcfs,8911.63043475,8911.191050691,10,0,right-skewed,80,0,1,request-000001,10,48.82045100000849,1304.2768230006914,static
8909.886822516,8909.886822103,1,batching,2372.0060149989877,,batching-static-right-skewed-b1-static-fcfs,8912.258828118,8911.727553017,12,0,right-skewed,17,0,1,request-000002,12,48.29773645443228,1840.7309140002326,static
8909.886837856,8909.886837474,1,batching,2908.7887820005562,,batching-static-right-skewed-b1-static-fcfs,8912.795626256,8912.456312431,8,0,right-skewed,49,0,1,request-000003,8,48.473403571344015,2569.474957001148,static
8909.886850629,8909.886850246,1,batching,3797.8693249988282,,batching-static-right-skewed-b1-static-fcfs,8913.684719571,8912.990554103,15,0,right-skewed,61,0,1,request-000004,15,49.58324771424876,3103.7038569993456,static
8909.886863084,8909.886862711,1,batching,5506.5158489996975,,batching-static-right-skewed-b1-static-fcfs,8915.39337856,8914.546792289,18,0,right-skewed,248,0,1,request-000005,18,49.79919241176343,4659.929577999719,static
8909.886993286,8909.886992789,1,batching,7027.235204001045,,batching-static-right-skewed-b1-static-fcfs,8916.914227993,8915.689682918,26,0,right-skewed,81,0,1,request-000006,26,48.98180299998785,5802.690129001348,static
8909.935470043,8909.935469116,1,batching,8080.760171998918,,batching-static-right-skewed-b1-static-fcfs,8918.016229288,8917.061460522,21,0,right-skewed,36,0,1,request-000007,21,47.73843829998441,7125.99140599923,static
8918.471862888,8918.471862076,1,batching,1035.295904999657,,batching-static-right-skewed-b1-static-fcfs,8919.507157981,8918.626297309,19,0,right-skewed,46,0,2,request-000000,19,48.93670399997063,154.4352330001857,static
8918.626437879,8918.626437002,1,batching,1565.1464559996384,,batching-static-right-skewed-b1-static-fcfs,8920.191583458,8919.75656459,10,0,right-skewed,80,0,2,request-000001,10,48.33542977778254,1130.1275879995956,static
8918.626489101,8918.626488737,1,batching,2198.813893000988,,batching-static-right-skewed-b1-static-fcfs,8920.82530263,8920.289223279,12,0,right-skewed,17,0,2,request-000002,12,48.7344864546189,1662.7345420001802,static
8918.626505313,8918.626504927,1,batching,2728.5096229988994,,batching-static-right-skewed-b1-static-fcfs,8921.35501455,8921.019894275,8,0,right-skewed,49,0,2,request-000003,8,47.8743250000012,2393.389347998891,static
8918.626518127,8918.626517658,1,batching,3623.9585830007854,,batching-static-right-skewed-b1-static-fcfs,8922.250476241,8921.552636033,15,0,right-skewed,61,0,2,request-000004,15,49.84572914288167,2926.118375000442,static
8918.626538563,8918.626538093,1,batching,5437.8967539996665,,batching-static-right-skewed-b1-static-fcfs,8924.064434847,8923.23962068,18,0,right-skewed,248,0,2,request-000005,18,48.51848041171787,4613.082587000463,static
8918.626727464,8918.626727031,1,batching,6969.673383000554,,batching-static-right-skewed-b1-static-fcfs,8925.596400414,8924.360624401,26,0,right-skewed,81,0,2,request-000006,26,49.431040519993985,5733.8973700007045,static
8918.676972615,8918.676971779,1,batching,8094.634365999809,,batching-static-right-skewed-b1-static-fcfs,8926.771606145,8925.748629747,21,0,right-skewed,36,0,2,request-000007,21,51.148819899935916,7071.657968001091,static
8927.2468056,8927.246804959,1,batching,1025.6254469986743,,batching-static-right-skewed-b1-static-fcfs,8928.272430406,8927.396711682,19,0,right-skewed,46,0,3,request-000000,19,48.65104022216352,149.90672299973085,static
8927.396856532,8927.396855549,1,batching,1548.8193170003797,,batching-static-right-skewed-b1-static-fcfs,8928.945674866,8928.517139828,10,0,right-skewed,80,0,3,request-000001,10,47.61500422217877,1120.2842790007708,static
8927.396907265,8927.396906978,1,batching,2198.5249190001923,,batching-static-right-skewed-b1-static-fcfs,8929.595431897,8929.05177207,12,0,right-skewed,17,0,3,request-000002,12,49.42362063626536,1654.8650920012733,static
8927.396925285,8927.396924933,1,batching,2744.1222769994056,,batching-static-right-skewed-b1-static-fcfs,8930.14104721,8929.793126268,8,0,right-skewed,49,0,3,request-000003,8,49.70299171431439,2396.201334999205,static
8927.396939911,8927.396939557,1,batching,3626.557346999107,,batching-static-right-skewed-b1-static-fcfs,8931.023496904,8930.343768696,15,0,right-skewed,61,0,3,request-000004,15,48.552014857055575,2946.8291390003287,static
8927.396953279,8927.396952932,1,batching,5269.095035000646,,batching-static-right-skewed-b1-static-fcfs,8932.666047967,8931.839122506,18,0,right-skewed,248,0,3,request-000005,18,48.642674176495774,4442.169574000218,static
8927.397067143,8927.397066573,1,batching,6770.387283000673,,batching-static-right-skewed-b1-static-fcfs,8934.167453856,8932.95498802,26,0,right-skewed,81,0,3,request-000006,26,48.49863344003097,5557.921446999899,static
8927.444917787,8927.444917024,1,batching,8032.724926999435,,batching-static-right-skewed-b1-static-fcfs,8935.477641951,8934.315136621,21,0,right-skewed,36,0,3,request-000007,21,58.125266499973804,6870.219596999959,static
8935.936148967,8935.936148124,1,batching,1038.3828000012727,,batching-static-right-skewed-b1-static-fcfs,8936.974530924,8936.089228615,19,0,right-skewed,46,0,4,request-000000,19,49.18346161118987,153.0804909998551,static
8936.089364522,8936.089363406,1,batching,1612.0380730008037,,batching-static-right-skewed-b1-static-fcfs,8937.701401479,8937.243097569,10,0,right-skewed,80,0,4,request-000001,10,50.922656666645906,1153.7341630009905,static
8936.089414501,8936.089414198,1,batching,2257.218284999908,,batching-static-right-skewed-b1-static-fcfs,8938.346632483,8937.799771804,12,0,right-skewed,17,0,4,request-000002,12,49.71460718181995,1710.3576059998886,static
