backend,in_features,iterations,latency_ms,out_features,repeat,rows,shape
triton-int8,1536,10,0.10280959606170655,1536,0,1,q-o-proj
triton-int8,1536,10,0.09773759841918946,1536,1,1,q-o-proj
triton-int8,1536,10,0.09659839868545532,1536,2,1,q-o-proj
triton-int8,1536,10,0.09579200148582459,1536,3,1,q-o-proj
triton-int8,1536,10,0.11036159992218017,1536,4,1,q-o-proj
triton-int8,1536,10,0.10191359519958496,1536,0,8,q-o-proj
triton-int8,1536,10,0.09891200065612793,1536,1,8,q-o-proj
triton-int8,1536,10,0.09858559966087341,1536,2,8,q-o-proj
triton-int8,1536,10,0.09573760032653808,1536,3,8,q-o-proj
triton-int8,1536,10,0.09534400105476379,1536,4,8,q-o-proj
triton-int8,1536,10,0.11950080394744873,1536,0,32,q-o-proj
triton-int8,1536,10,0.10405759811401367,1536,1,32,q-o-proj
triton-int8,1536,10,0.10107840299606323,1536,2,32,q-o-proj
triton-int8,1536,10,0.1000864028930664,1536,3,32,q-o-proj
triton-int8,1536,10,0.11020159721374512,1536,4,32,q-o-proj
triton-int8,1536,10,0.3237951993942261,1536,0,128,q-o-proj
triton-int8,1536,10,0.32299840450286865,1536,1,128,q-o-proj
triton-int8,1536,10,0.323417592048645,1536,2,128,q-o-proj
triton-int8,1536,10,0.3323071956634521,1536,3,128,q-o-proj
triton-int8,1536,10,0.33613760471343995,1536,4,128,q-o-proj
triton-int8,1536,10,0.09534720182418824,256,0,1,k-v-proj
triton-int8,1536,10,0.09276480078697205,256,1,1,k-v-proj
triton-int8,1536,10,0.09984959959983826,256,2,1,k-v-proj
triton-int8,1536,10,0.11204479932785034,256,3,1,k-v-proj
triton-int8,1536,10,0.09576640129089356,256,4,1,k-v-proj
triton-int8,1536,10,0.09815040230751038,256,0,8,k-v-proj
triton-int8,1536,10,0.09283519983291626,256,1,8,k-v-proj
triton-int8,1536,10,0.09151039719581604,256,2,8,k-v-proj
triton-int8,1536,10,0.09146239757537841,256,3,8,k-v-proj
triton-int8,1536,10,0.0918079972267151,256,4,8,k-v-proj
triton-int8,1536,10,0.20095360279083252,256,0,32,k-v-proj
triton-int8,1536,10,0.20151679515838622,256,1,32,k-v-proj
triton-int8,1536,10,0.20459198951721191,256,2,32,k-v-proj
triton-int8,1536,10,0.20074880123138428,256,3,32,k-v-proj
triton-int8,1536,10,0.2008352041244507,256,4,32,k-v-proj
triton-int8,1536,10,0.42015681266784666,256,0,128,k-v-proj
triton-int8,1536,10,0.41774721145629884,256,1,128,k-v-proj
triton-int8,1536,10,0.43773441314697265,256,2,128,k-v-proj
