admitted_s,arrival_s,backend,batch_size,e2e_ms,error,finished_s,first_token_s,output_tokens,preemptions,prompt_tokens,recomputed_tokens,repeat,request_id,requested_output_tokens,tpot_ms,ttft_ms,workload
13019.248645826,13019.248643742,fp16,1,416.1215060012182,,13019.664765248,13019.308147577,8,0,16,0,0,request-000000,8,50.94538157157201,59.50383500021417,16x8
13019.688485888,13019.68848408,fp16,1,395.6511190008314,,13020.084135199,13019.739280477,8,0,16,0,1,request-000000,8,49.264960285654524,50.796397001249716,16x8
13020.108227905,13020.10822738,fp16,1,395.9804530004476,,13020.504207833,13020.158985863,8,0,16,0,2,request-000000,8,49.317424285878324,50.758482999299304,16x8
13020.527847568,13020.527846984,fp16,1,395.80713500072306,,13020.923654119,13020.578388012,8,0,16,0,3,request-000000,8,49.3237295714997,50.5410280002252,16x8
13020.94816336,13020.948162667,fp16,1,409.9462569993193,,13021.358108924,13021.00518233,8,0,16,0,4,request-000000,8,50.418084857093554,57.01966299966443,16x8
13021.440498572,13021.440497919,fp16,1,1825.2875549987948,,13023.265785474,13021.68065881,32,0,128,0,0,request-000000,32,51.133118193496145,240.16089100041427,128x32
13023.357973432,13023.357972837,fp16,1,1702.3232909996295,,13025.060296128,13023.562125152,32,0,128,0,1,request-000000,32,48.32809599998478,204.15231500010123,128x32
13025.155799986,13025.155799304,fp16,1,1691.0350489997654,,13026.846834353,13025.359459453,32,0,128,0,2,request-000000,32,47.97983548386612,203.6601489999157,128x32
13026.942054887,13026.942054202,fp16,1,1711.9605690004391,,13028.654014771,13027.154162847,32,0,128,0,3,request-000000,32,48.38232012902623,212.10864500062598,128x32
13028.746438266,13028.746437676,fp16,1,1723.1873060009093,,13030.469624982,13028.954640852,32,0,128,0,4,request-000000,32,48.87045580647781,208.2031760000973,128x32
13030.621335699,13030.621335023,fp16,1,1042.792754000402,,13031.664127777,13030.769796433,19,0,46,0,0,request-000000,19,49.685074666639494,148.4614100008912,right-skewed
13030.769933794,13030.769932819,fp16,1,1586.0781380015396,,13032.356010957,13031.912138349,10,0,80,0,0,request-000001,10,49.319178666741614,1142.205530000865,right-skewed
13030.769980378,13030.769980084,fp16,1,2427.738225000212,,13033.197718309,13032.457141477,12,0,17,0,0,request-000002,12,67.32516654549478,1687.1613929997693,right-skewed
13030.769997241,13030.769996961,fp16,1,2971.9497530004446,,13033.741946714,13033.406509333,8,0,49,0,0,request-000003,8,47.91962585737305,2636.5123719988333,right-skewed
13030.770028833,13030.770028467,fp16,1,3915.6058069984283,,13034.685634274,13033.959862195,15,0,61,0,0,request-000004,15,51.84086278560634,3189.8337279999396,right-skewed
13030.770057655,13030.770057232,fp16,1,5661.989495998569,,13036.432046728,13035.598636514,18,0,248,0,0,request-000005,18,49.024130235278896,4828.579281998827,right-skewed
13030.770113628,13030.770113329,fp16,1,7209.20718600064,,13037.979320515,13036.755915221,26,0,81,0,0,request-000006,26,48.93621176001034,5985.8018920003815,right-skewed
13030.818598551,13030.818597739,fp16,1,8299.729431999367,,13039.118327171,13038.141300642,21,0,36,0,0,request-000007,21,48.85132644994883,7322.7029030003905,right-skewed
13039.560931375,13039.560930703,fp16,1,1031.3431329996092,,13040.592273836,13039.714913535,19,0,46,0,1,request-000000,19,48.742238944517645,153.98283199829166,right-skewed
13039.71505444,13039.71505339,fp16,1,1587.828878999062,,13041.302882269,13040.848921964,10,0,80,0,1,request-000001,10,50.44003388886469,1133.8685739992798,right-skewed
13039.715105585,13039.715105159,fp16,1,2228.977296999801,,13041.944082456,13041.404132753,12,0,17,0,1,request-000002,12,49.08633663647131,1689.0275939986168,right-skewed
13039.715122051,13039.715121678,fp16,1,2772.266332000072,,13042.48738801,13042.144031403,8,0,49,0,1,request-000003,8,49.05094385711501,2428.909725000267,right-skewed
13039.715136318,13039.715135926,fp16,1,3667.2661590000644,,13043.382402085,13042.689442988,15,0,61,0,1,request-000004,15,49.4970783572301,2974.307061998843,right-skewed
13039.715150026,13039.715149271,fp16,1,5514.07773199935,,13045.229227003,13044.374847169,18,0,248,0,1,request-000005,18,50.257637294100064,4659.697897999649,right-skewed
13039.715211062,13039.715210511,fp16,1,7133.135239000694,,13046.84834575,13045.54286055,26,0,81,0,1,request-000006,26,52.21940800001903,5827.650039000218,right-skewed
13039.764222553,13039.764221839,fp16,1,8207.4886900009,,13047.971710529,13046.994950936,21,0,36,0,1,request-000007,21,48.83797965003396,7230.729097000221,right-skewed
13048.422247382,13048.422246578,fp16,1,1047.3094569988461,,13049.469556035,13048.577405711,19,0,46,0,2,request-000000,19,49.563906888882535,155.15913299896056,right-skewed
13048.577526956,13048.577526026,fp16,1,1585.1339290002215,,13050.162659955,13049.724073519,10,0,80,0,2,request-000001,10,48.7318262221379,1146.5474930009805,right-skewed
13048.577575264,13048.577574876,fp16,1,2243.3938379999745,,13050.820968714,13050.264822576,12,0,17,0,2,request-000002,12,50.558739818205304,1687.2476999997161,right-skewed
13048.57759103,13048.577590667,fp16,1,2796.4059819987597,,13051.373996649,13051.032527061,8,0,49,0,2,request-000003,8,48.7813697143013,2454.9363939986506,right-skewed
13048.577604665,13048.577604249,fp16,1,3680.0323839997873,,13052.257636633,13051.571392219,15,0,61,0,2,request-000004,15,49.01745814277092,2993.7879700009944,right-skewed
