backend,in_features,iterations,latency_ms,out_features,repeat,rows,shape
fp16,1536,1,0.15052799880504608,1536,0,1,q-o-proj
fp16,1536,1,0.08377599716186523,1536,1,1,q-o-proj
fp16,1536,1,0.07491199672222137,1536,2,1,q-o-proj
fp16,1536,1,0.07110399752855301,1536,3,1,q-o-proj
fp16,1536,1,0.06982400268316269,1536,4,1,q-o-proj
reference-int8,1536,1,0.3359679877758026,1536,0,1,q-o-proj
reference-int8,1536,1,0.31833600997924805,1536,1,1,q-o-proj
reference-int8,1536,1,0.32153600454330444,1536,2,1,q-o-proj
reference-int8,1536,1,0.3182399868965149,1536,3,1,q-o-proj
reference-int8,1536,1,0.31308799982070923,1536,4,1,q-o-proj
fp16,1536,1,0.08816000074148178,1536,0,8,q-o-proj
fp16,1536,1,0.11164800077676773,1536,1,8,q-o-proj
fp16,1536,1,0.07891199737787247,1536,2,8,q-o-proj
fp16,1536,1,0.09145600348711014,1536,3,8,q-o-proj
fp16,1536,1,0.0899519994854927,1536,4,8,q-o-proj
reference-int8,1536,1,0.3259199857711792,1536,0,8,q-o-proj
reference-int8,1536,1,0.3176639974117279,1536,1,8,q-o-proj
reference-int8,1536,1,0.30979201197624207,1536,2,8,q-o-proj
reference-int8,1536,1,0.315744012594223,1536,3,8,q-o-proj
reference-int8,1536,1,0.3213759958744049,1536,4,8,q-o-proj
fp16,1536,1,0.11311999708414078,1536,0,32,q-o-proj
fp16,1536,1,0.1027199998497963,1536,1,32,q-o-proj
fp16,1536,1,0.09657599776983261,1536,2,32,q-o-proj
fp16,1536,1,0.10921599715948105,1536,3,32,q-o-proj
fp16,1536,1,0.10092800110578537,1536,4,32,q-o-proj
reference-int8,1536,1,0.3270399868488312,1536,0,32,q-o-proj
reference-int8,1536,1,0.32335999608039856,1536,1,32,q-o-proj
reference-int8,1536,1,0.3166399896144867,1536,2,32,q-o-proj
reference-int8,1536,1,0.3208639919757843,1536,3,32,q-o-proj
reference-int8,1536,1,0.31884801387786865,1536,4,32,q-o-proj
fp16,1536,1,0.14582400023937225,1536,0,128,q-o-proj
fp16,1536,1,0.1372160017490387,1536,1,128,q-o-proj
fp16,1536,1,0.1446399986743927,1536,2,128,q-o-proj
fp16,1536,1,0.1387840062379837,1536,3,128,q-o-proj
fp16,1536,1,0.13344000279903412,1536,4,128,q-o-proj
reference-int8,1536,1,0.36243200302124023,1536,0,128,q-o-proj
